u_m,v_m,mass_kg,area_m2,areal_mass_kg_m2
-6.562500000000000278e-02,1.218750000000000111e-01,0.000000000000000000e+00,3.515624999999994449e-04,0.000000000000000000e+00
-4.687500000000000000e-02,1.218750000000000111e-01,0.000000000000000000e+00,3.515625000000003123e-04,0.000000000000000000e+00
-2.812499999999999722e-02,1.218750000000000111e-01,0.000000000000000000e+00,3.515624999999998786e-04,0.000000000000000000e+00
-9.374999999999999653e-03,1.218750000000000111e-01,0.000000000000000000e+00,3.515624999999998786e-04,0.000000000000000000e+00
9.374999999999999653e-03,1.218750000000000111e-01,0.000000000000000000e+00,3.515624999999998786e-04,0.000000000000000000e+00
2.812500000000000069e-02,1.218750000000000111e-01,0.000000000000000000e+00,3.515624999999998786e-04,0.000000000000000000e+00
4.687500000000000000e-02,1.218750000000000111e-01,0.000000000000000000e+00,3.515625000000003123e-04,0.000000000000000000e+00
6.562500000000000278e-02,1.218750000000000111e-01,0.000000000000000000e+00,3.515624999999994449e-04,0.000000000000000000e+00
8.437500000000000555e-02,1.218750000000000111e-01,0.000000000000000000e+00,3.515625000000011796e-04,0.000000000000000000e+00
1.031249999999999944e-01,1.218750000000000111e-01,0.000000000000000000e+00,3.515624999999994449e-04,0.000000000000000000e+00
1.218749999999999972e-01,1.218750000000000111e-01,0.000000000000000000e+00,3.515624999999994449e-04,0.000000000000000000e+00
1.406250000000000000e-01,1.218750000000000111e-01,0.000000000000000000e+00,3.515624999999994449e-04,0.000000000000000000e+00
-1.406250000000000000e-01,1.406250000000000000e-01,0.000000000000000000e+00,3.515624999999994449e-04,0.000000000000000000e+00
-1.218750000000000111e-01,1.406250000000000000e-01,0.000000000000000000e+00,3.515624999999994449e-04,0.000000000000000000e+00
-1.031249999999999944e-01,1.406250000000000000e-01,0.000000000000000000e+00,3.515625000000029143e-04,0.000000000000000000e+00
-8.437500000000000555e-02,1.406250000000000000e-01,0.000000000000000000e+00,3.515624999999977102e-04,0.000000000000000000e+00
-6.562500000000000278e-02,1.406250000000000000e-01,0.000000000000000000e+00,3.515624999999994449e-04,0.000000000000000000e+00
-4.687500000000000000e-02,1.406250000000000000e-01,0.000000000000000000e+00,3.515625000000003123e-04,0.000000000000000000e+00
-2.812499999999999722e-02,1.406250000000000000e-01,0.000000000000000000e+00,3.515624999999998786e-04,0.000000000000000000e+00
-9.374999999999999653e-03,1.406250000000000000e-01,0.000000000000000000e+00,3.515624999999998786e-04,0.000000000000000000e+00
9.374999999999999653e-03,1.406250000000000000e-01,0.000000000000000000e+00,3.515624999999998786e-04,0.000000000000000000e+00
2.812500000000000069e-02,1.406250000000000000e-01,0.000000000000000000e+00,3.515624999999998786e-04,0.000000000000000000e+00
4.687500000000000000e-02,1.406250000000000000e-01,0.000000000000000000e+00,3.515625000000003123e-04,0.000000000000000000e+00
6.562500000000000278e-02,1.406250000000000000e-01,0.000000000000000000e+00,3.515624999999994449e-04,0.000000000000000000e+00
8.437500000000000555e-02,1.406250000000000000e-01,0.000000000000000000e+00,3.515624999999977102e-04,0.000000000000000000e+00
1.031249999999999944e-01,1.406250000000000000e-01,0.000000000000000000e+00,3.515625000000029143e-04,0.000000000000000000e+00
1.218749999999999972e-01,1.406250000000000000e-01,0.000000000000000000e+00,3.515624999999994449e-04,0.000000000000000000e+00
1.406250000000000000e-01,1.406250000000000000e-01,0.000000000000000000e+00,3.515624999999994449e-04,0.000000000000000000e+00
